sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
158,0.564839743,0.940000001,1.770670359,1.664430137,1.858050541,344.9000001
159,0.564757858,0.940000001,1.770927799,1.664672131,1.858050541,343.9500001
160,0.564675759,0.94,1.771185989,1.66491483,1.858050541,343.0000001
161,0.564593445,0.940000001,1.771444934,1.665158238,1.858050541,342.0500001
162,0.564510914,0.94,1.771704639,1.66540236,1.858050541,341.1000001
163,0.564428166,0.940000001,1.771965107,1.665647201,1.858050541,340.1500001
164,0.564345198,0.940000001,1.772226343,1.665892763,1.858050541,339.2000001
165,0.56426201,0.94,1.772488352,1.666139051,1.858050541,338.2500001
166,0.564178601,0.94,1.772751137,1.666386069,1.858050541,337.3000001
167,0.56409497,0.940000001,1.773014704,1.666633822,1.858050541,336.3500001
168,0.564011114,0.94,1.773279057,1.666882314,1.858050541,335.4000001
169,0.563927034,0.940000001,1.773544201,1.667131548,1.858050541,334.4500001
170,0.563842727,0.94,1.773810139,1.667381531,1.858050541,333.5000001
171,0.563758193,0.94,1.774076877,1.667632265,1.858050541,332.5500001
172,0.56367343,0.94,1.77434442,1.667883755,1.858050541,331.6000001
173,0.563588437,0.94,1.774612772,1.668136006,1.858050541,330.6500001
174,0.563503213,0.940000001,1.774881939,1.668389022,1.858050541,329.7000001
175,0.563417756,0.940000001,1.775151924,1.668642808,1.858050541,328.7500001
176,0.563332065,0.94,1.775422733,1.668897369,1.858050541,327.8000001
177,0.563246139,0.940000001,1.77569437,1.669152708,1.858050541,326.8500001
178,0.563159976,0.94,1.775966841,1.669408831,1.858050541,325.9000001
179,0.563073575,0.94,1.776240151,1.669665742,1.858050541,324.9500001
180,0.562986935,0.94,1.776514304,1.669923446,1.858050541,324.0000001
181,0.562900055,0.940000001,1.776789307,1.670181948,1.858050541,323.0500001
182,0.562812932,0.940000001,1.777065163,1.670441253,1.858050541,322.1000001
183,0.562725566,0.940000001,1.777341878,1.670701365,1.858050541,321.1500001
184,0.562637955,0.940000001,1.777619458,1.67096229,1.858050541,320.2000001
185,0.562550097,0.94,1.777897907,1.671224032,1.858050541,319.2500001
186,0.562461993,0.940000001,1.778177231,1.671486597,1.858050541,318.3000001
187,0.562373638,0.94,1.778457435,1.671749989,1.858050541,317.3500001
188,0.562285034,0.940000001,1.778738525,1.672014214,1.858050541,316.4000001
189,0.562196177,0.94,1.779020507,1.672279276,1.858050541,315.4500001
190,0.562107067,0.940000001,1.779303385,1.672545182,1.858050541,314.5000001
191,0.562017702,0.940000001,1.779587165,1.672811935,1.858050541,313.5500001
192,0.56192808,0.94,1.779871854,1.673079542,1.858050541,312.6000001
193,0.5618382,0.94,1.780157456,1.673348008,1.858050541,311.6500001
194,0.561748061,0.940000001,1.780443977,1.673617338,1.858050541,310.7000001
195,0.561657661,0.940000001,1.780731424,1.673887538,1.858050541,309.7500001
196,0.561566998,0.940000001,1.781019801,1.674158613,1.858050541,308.8000001
197,0.56147607,0.94,1.781309116,1.674430569,1.858050541,307.8500001
198,0.561384877,0.94,1.781599373,1.674703411,1.858050541,306.9000001
199,0.561293417,0.940000001,1.781890579,1.674977144,1.858050541,305.9500001
200,0.561201687,0.940000001,1.78218274,1.675251776,1.858050541,305.0000001
201,0.561109687,0.940000001,1.782475862,1.675527311,1.858050541,304.0500001
202,0.561017414,0.94,1.782769952,1.675803755,1.858050541,303.1000001
203,0.560924868,0.940000001,1.783065015,1.676081114,1.858050541,302.1500001
204,0.560832045,0.94,1.783361057,1.676359394,1.858050541,301.2000001
205,0.560738946,0.940000001,1.783658086,1.676638601,1.858050541,300.2500001
206,0.560645567,0.940000001,1.783956108,1.676918741,1.858050541,299.3000001
207,0.560551908,0.940000001,1.784255128,1.67719982,1.858050541,298.3500001
208,0.560457966,0.940000001,1.784555154,1.677481845,1.858050541,297.4000001
209,0.560363739,0.94,1.784856192,1.677764821,1.858050541,296.4500001
210,0.560269227,0.940000001,1.78515825,1.678048755,1.858050541,295.5000001
211,0.560174427,0.940000001,1.785461333,1.678333653,1.858050541,294.5500001
212,0.560079337,0.940000001,1.785765448,1.678619521,1.858050541,293.6000001
213,0.559983955,0.94,1.786070603,1.678906366,1.858050541,292.6500001
214,0.559888281,0.940000001,1.786376804,1.679194195,1.858050541,291.7000001
215,0.559792311,0.940000001,1.786684058,1.679483015,1.858050541,290.7500001
216,0.559696044,0.940000001,1.786992373,1.67977283,1.858050541,289.8000001
217,0.559599478,0.94,1.787301755,1.68006365,1.858050541,288.8500001
218,0.559502611,0.94,1.787612212,1.68035548,1.858050541,287.9000001
219,0.559405442,0.940000001,1.787923751,1.680648326,1.858050541,286.9500001
220,0.559307967,0.94,1.78823638,1.680942197,1.858050541,286.0000001
221,0.559210186,0.94,1.788550106,1.6812371,1.858050541,285.0500001
222,0.559112096,0.94,1.788864936,1.68153304,1.858050541,284.1000001
223,0.559013696,0.940000001,1.789180878,1.681830026,1.858050541,283.1500001
224,0.558914982,0.94,1.78949794,1.682128064,1.858050541,282.2000001
225,0.558815954,0.94,1.78981613,1.682427162,1.858050541,281.2500001
226,0.558716609,0.94,1.790135455,1.682727327,1.858050541,280.3000001
227,0.558616945,0.94,1.790455923,1.683028568,1.858050541,279.3500001
228,0.55851696,0.940000001,1.790777542,1.68333089,1.858050541,278.4000001
229,0.558416652,0.940000001,1.791100321,1.683634302,1.858050541,277.4500001
230,0.558316018,0.940000001,1.791424268,1.683938812,1.858050541,276.5000001
231,0.558215057,0.940000001,1.79174939,1.684244427,1.858050541,275.5500001
232,0.558113766,0.940000001,1.792075697,1.684551155,1.858050541,274.6000001
233,0.558012142,0.94,1.792403196,1.684859004,1.858050541,273.6500001
234,0.557910185,0.94,1.792731896,1.685167983,1.858050541,272.7000001
235,0.557807891,0.94,1.793061807,1.685478098,1.858050541,271.7500001
236,0.557705259,0.940000001,1.793392935,1.685789359,1.858050541,270.8000001
237,0.557602285,0.94,1.793725291,1.686101774,1.858050541,269.8500001
238,0.557498968,0.94,1.794058883,1.68641535,1.858050541,268.9000001
239,0.557395305,0.94,1.794393721,1.686730098,1.858050541,267.9500001
240,0.557291294,0.94,1.794729813,1.687046024,1.858050541,267.0000001
241,0.557186933,0.940000001,1.795067168,1.687363138,1.858050541,266.0500001
242,0.557082218,0.940000001,1.795405796,1.687681448,1.858050541,265.1000001
243,0.556977148,0.940000001,1.795745706,1.688000964,1.858050541,264.1500001
244,0.556871719,0.94,1.796086908,1.688321694,1.858050541,263.2000001
245,0.556765931,0.940000001,1.796429411,1.688643647,1.858050541,262.2500001
246,0.556659779,0.940000001,1.796773225,1.688966832,1.858050541,261.3000001
247,0.556553262,0.940000001,1.797118361,1.689291259,1.858050541,260.3500001
248,0.556446376,0.94,1.797464826,1.689616937,1.858050541,259.4000001
249,0.55633912,0.940000001,1.797812633,1.689943875,1.858050541,258.4500001
250,0.55623149,0.940000001,1.798161791,1.690272083,1.858050541,257.5000001
251,0.556123484,0.940000001,1.79851231,1.690601571,1.858050541,256.5500001
252,0.556015099,0.940000001,1.7988642,1.690932348,1.858050541,255.6000001
253,0.555906332,0.940000001,1.799217473,1.691264424,1.858050541,254.6500001
254,0.555797181,0.940000001,1.799572138,1.69159781,1.858050541,253.7000001
255,0.555687643,0.940000001,1.799928207,1.691932515,1.858050541,252.7500001
256,0.555577714,0.94,1.80028569,1.692268549,1.858050541,251.8000001
257,0.555467393,0.94,1.800644599,1.692605923,1.858050541,250.8500001
258,0.555356676,0.940000001,1.801004944,1.692944647,1.858050541,249.9000001
259,0.55524556,0.94,1.801366737,1.693284733,1.858050541,248.9500001
